date,fuel,generation
2015-01-01,COL,260238813.788
2015-01-01,DFO,1400101.85
2015-01-01,GEO,2723829.72
2015-01-01,HPS,-1102100.0
2015-01-01,HYC,48274679.034
2015-01-01,MLG,2932755.986
2015-01-01,NG,197260752.214
2015-01-01,NUC,148539948.0
2015-01-01,OOG,2467924.056
2015-01-01,ORW,503911.23
2015-01-01,OTH,2218669.392
2015-01-01,PC,2091189.228
2015-01-01,RFO,2061524.704
2015-01-01,SUN,2302666.958
2015-01-01,WND,30317926.148
2015-01-01,WOC,1854703.71
2015-01-01,WOO,353337.084
2015-01-01,WWW,7310635.552
2015-02-01,COL,247213817.75800002
2015-02-01,DFO,4256205.408
2015-02-01,GEO,2520198.27
2015-02-01,HPS,-912120.0
2015-02-01,HYC,44570572.354
2015-02-01,MLG,2573490.372
2015-02-01,NG,180279727.72800002
2015-02-01,NUC,126922986.0
2015-02-01,OOG,2027943.154
2015-02-01,ORW,448621.06799999997
2015-02-01,OTH,1949490.66
2015-02-01,PC,2199971.462
2015-02-01,RFO,4989167.0600000005
2015-02-01,SUN,2892225.93
2015-02-01,WND,29835782.438
2015-02-01,WOC,1787921.954
2015-02-01,WOO,970003.53
2015-02-01,WWW,6655535.794
2015-03-01,COL,215598211.228
2015-03-01,DFO,882440.982
2015-03-01,GEO,2787988.704
2015-03-01,HPS,-818610.0
2015-03-01,HYC,48559690.656
2015-03-01,MLG,2913500.482
2015-03-01,NG,197422669.952
2015-03-01,NUC,129093598.0
2015-03-01,OOG,2159106.81
2015-03-01,ORW,498450.314
2015-03-01,OTH,2094276.786
2015-03-01,PC,1434236.176
2015-03-01,RFO,1055232.712
2015-03-01,SUN,4130261.5
2015-03-01,WND,30608937.048
2015-03-01,WOC,1174167.86
2015-03-01,WOO,152137.974
2015-03-01,WWW,6821204.068
2015-04-01,COL,177044518.912
2015-04-01,DFO,681771.552
2015-04-01,GEO,2544855.644
2015-04-01,HPS,-428822.0
2015-04-01,HYC,44939655.972
2015-04-01,MLG,2971990.048
2015-04-01,NG,184602945.34
2015-04-01,NUC,119568990.0
2015-04-01,OOG,1937220.732
