date,fuel,generation
2015-01-01,COL,130124190.966
2015-01-01,DFO,707319.326
2015-01-01,GEO,1361914.86
2015-01-01,HYC,24137951.096
2015-01-01,MLG,1466377.993
2015-01-01,NG,98685284.198
2015-01-01,NUC,74269974.0
2015-01-01,OOG,1233962.028
2015-01-01,ORW,252017.287
2015-01-01,OTH,1111433.648
2015-01-01,PC,1045594.614
2015-01-01,RFO,1032607.172
2015-01-01,SUN,1151333.479
2015-01-01,WND,15158963.074
2015-01-01,WOC,927351.855
2015-01-01,WOO,176932.016
2015-01-01,WWW,3676299.549
2015-02-01,COL,123612363.742
2015-02-01,DFO,2134183.925
2015-02-01,GEO,1260099.135
2015-02-01,HYC,22285950.55
2015-02-01,MLG,1286745.186
2015-02-01,NG,90184022.57
2015-02-01,NUC,63469611.0
2015-02-01,OOG,1014364.465
2015-02-01,ORW,224359.161
2015-02-01,OTH,976546.708
2015-02-01,PC,1099985.731
2015-02-01,RFO,2494583.5300000003
2015-02-01,SUN,1446112.965
2015-02-01,WND,14917891.219
2015-02-01,WOC,893960.977
2015-02-01,WOO,485211.765
2015-02-01,WWW,3346857.585
2015-03-01,COL,107802567.629
2015-03-01,DFO,455288.56
2015-03-01,GEO,1393994.352
2015-03-01,HYC,24280540.101999998
2015-03-01,MLG,1456750.241
2015-03-01,NG,98760387.504
2015-03-01,NUC,64562896.0
2015-03-01,OOG,1079976.723
2015-03-01,ORW,249285.148
2015-03-01,OTH,1049245.93
2015-03-01,PC,717118.088
2015-03-01,RFO,527771.041
2015-03-01,SUN,2065130.75
2015-03-01,WND,15304468.524
2015-03-01,WOC,593107.865
2015-03-01,WOO,76325.987
2015-03-01,WWW,3433702.4
2015-04-01,COL,88549857.935
2015-04-01,DFO,352156.111
2015-04-01,GEO,1272427.822
2015-04-01,HYC,22471195.108
2015-04-01,MLG,1485995.024
2015-04-01,NG,92358943.258
2015-04-01,NUC,59806646.0
2015-04-01,OOG,968963.193
2015-04-01,ORW,236923.9
2015-04-01,OTH,1092928.017
2015-04-01,PC,809155.081
2015-04-01,RFO,505508.21
2015-04-01,SUN,2370417.989
2015-04-01,WND,17862277.021
2015-04-01,WOC,458251.673
2015-04-01,WOO,74105.267
2015-04-01,WWW,3220127.48
2015-05-01,COL,103945507.054
2015-05-01,DFO,460418.002
2015-05-01,GEO,1390150.942
2015-05-01,HYC,20125530.6
2015-05-01,MLG,1559902.862
2015-05-01,NG,101074193.755
2015-05-01,NUC,65828697.0
2015-05-01,OOG,1088144.433
2015-05-01,ORW,232110.304
2015-05-01,OTH,1181348.052
2015-05-01,PC,921576.24
2015-05-01,RFO,476489.13
2015-05-01,SUN,2486587.877
2015-05-01,WND,17146021.125
2015-05-01,WOC,630106.918
2015-05-01,WOO,86771.107
2015-05-01,WWW,3322792.678
2015-06-01,COL,124777714.128
2015-06-01,DFO,427607.451
2015-06-01,GEO,1301607.671
2015-06-01,HYC,20377160.828
2015-06-01,MLG,1532851.766
2015-06-01,NG,120805278.503
2015-06-01,NUC,68516165.0
2015-06-01,OOG,1106825.635
2015-06-01,ORW,244585.431
2015-06-01,OTH,1184041.749
2015-06-01,PC,820512.717
2015-06-01,RFO,534352.094
2015-06-01,SUN,2547749.878
2015-06-01,WND,13416772.639
2015-06-01,WOC,765280.751
2015-06-01,WOO,83379.28
2015-06-01,WWW,3463887.04
2015-07-01,COL,137655800.161
2015-07-01,DFO,404688.552
2015-07-01,GEO,1356727.116
2015-07-01,HYC,21013564.23
2015-07-01,MLG,1695564.346
2015-07-01,NG,140395459.226
2015-07-01,NUC,71412176.0
2015-07-01,OOG,1204523.3969999999
2015-07-01,ORW,285997.89
2015-07-01,OTH,1290309.878
2015-07-01,PC,1103379.313
2015-07-01,RFO,697762.181
2015-07-01,SUN,2615653.015
2015-07-01,WND,13670857.853
2015-07-01,WOC,762709.027
2015-07-01,WOO,98689.327
2015-07-01,WWW,3774987.51
2015-08-01,COL,133838616.296
2015-08-01,DFO,393075.445
2015-08-01,GEO,1344142.712
2015-08-01,HYC,19121654.396
2015-08-01,MLG,1632566.321
2015-08-01,NG,138465121.929
2015-08-01,NUC,72415352.0
2015-08-01,OOG,1183903.425
2015-08-01,ORW,281789.46499999997
2015-08-01,OTH,1297377.745
2015-08-01,PC,1040464.851
2015-08-01,RFO,620606.232
2015-08-01,SUN,2676095.903
2015-08-01,WND,13075944.227
2015-08-01,WOC,827201.917
2015-08-01,WOO,81542.458
2015-08-01,WWW,3753576.897
2015-09-01,COL,117197910.897
2015-09-01,DFO,359391.098
2015-09-01,GEO,1202861.446
2015-09-01,HYC,16093712.166
2015-09-01,MLG,1537274.594
2015-09-01,NG,122033037.2
2015-09-01,NUC,66476372.0
2015-09-01,OOG,1198799.079
2015-09-01,ORW,261598.73200000002
2015-09-01,OTH,1179537.992
2015-09-01,PC,1028086.724
2015-09-01,RFO,547072.885
2015-09-01,SUN,2207760.152
2015-09-01,WND,13941296.181
2015-09-01,WOC,785692.145
2015-09-01,WOO,102540.675
2015-09-01,WWW,3423130.622
2015-10-01,COL,96316100.033
2015-10-01,DFO,354093.122
2015-10-01,GEO,1323032.225
2015-10-01,HYC,16631352.655
2015-10-01,MLG,1554093.578
2015-10-01,NG,109298374.831
2015-10-01,NUC,60577489.0
2015-10-01,OOG,896560.0
2015-10-01,ORW,282333.459
2015-10-01,OTH,1203528.76
2015-10-01,PC,826660.659
2015-10-01,RFO,513318.377
2015-10-01,SUN,1900970.193
2015-10-01,WND,16376471.313
2015-10-01,WOC,457172.218
2015-10-01,WOO,87592.408
2015-10-01,WWW,3195368.53
2015-11-01,COL,85765306.046
2015-11-01,DFO,430757.098
2015-11-01,GEO,1333628.251
2015-11-01,HYC,19337956.564
2015-11-01,MLG,1611671.457
2015-11-01,NG,101345985.04
2015-11-01,NUC,60289693.0
2015-11-01,OOG,890896.357
2015-11-01,ORW,283281.602
2015-11-01,OTH,1195685.564
2015-11-01,PC,715303.626
2015-11-01,RFO,542930.036
2015-11-01,SUN,1716754.186
2015-11-01,WND,19677266.325
2015-11-01,WOC,718503.631
2015-11-01,WOO,46002.21
2015-11-01,WWW,3384438.99
2015-12-01,COL,88814264.859
2015-12-01,DFO,431367.059
2015-12-01,GEO,1376988.468
2015-12-01,HYC,23165218.348
2015-12-01,MLG,1670315.976
2015-12-01,NG,108206428.939
2015-12-01,NUC,69633664.0
2015-12-01,OOG,1096638.046
2015-12-01,ORW,291717.136
2015-12-01,OTH,1226620.97
2015-12-01,PC,749398.456
2015-12-01,RFO,479495.704
2015-12-01,SUN,1560855.143
2015-12-01,WND,20092442.399
2015-12-01,WOC,694195.581
2015-12-01,WOO,55744.305
2015-12-01,WWW,3554735.088
2016-01-01,COL,112482404.36
2016-01-01,DFO,693301.052
2016-01-01,GEO,1332006.0929999999
2016-01-01,HYC,25615560.015
2016-01-01,MLG,1517892.349
2016-01-01,NG,109760032.681
2016-01-01,NUC,72551596.0
2016-01-01,OOG,1194849.902
2016-01-01,ORW,276682.58999999997
2016-01-01,OTH,1152370.875
2016-01-01,PC,966990.322
2016-01-01,RFO,615010.744
2016-01-01,SUN,1480673.125
2016-01-01,WND,18462128.658999998
2016-01-01,WOC,985002.513
2016-01-01,WOO,99257.908
2016-01-01,WWW,3600525.598
2016-02-01,COL,91861093.101
2016-02-01,DFO,530901.479
2016-02-01,GEO,1243383.806
2016-02-01,HYC,24139556.95
2016-02-01,MLG,1423279.726
